state_code,state,county,value,population,fips,measure_id
IN,Indiana,Posey,31.5,25116,18129,ARTHRITIS
IN,Indiana,Henry,3.6,48935,18065,STROKE
IL,Illinois,Knox,41.2,49268,17095,OBESITY
IL,Illinois,Coles,23.3,46765,17029,DEPRESSION
IL,Illinois,Macoupin,10.1,44406,17117,CASTHMA
IL,Illinois,Monroe,19.9,34932,17133,DEPRESSION
IL,Illinois,Moultrie,21.5,14510,17139,DEPRESSION
IN,Indiana,Marshall,3.7,46121,18099,STROKE
IL,Illinois,Scott,17.3,4836,17171,MOBILITY
ID,Idaho,Butte,12.3,2654,16023,BINGE
IL,Illinois,Edwards,31.6,6075,17047,ARTHRITIS
IA,Iowa,Union,3.5,12018,19175,STROKE
IN,Indiana,Warren,3.6,8475,18171,STROKE
KS,Kansas,Ford,3.1,34159,20057,STROKE
IA,Iowa,Mills,9.9,14465,19129,COGNITION
IA,Iowa,Harrison,18.6,14669,19085,DEPRESSION
KS,Kansas,Butler,2.9,67889,20015,STROKE
KS,Kansas,Pottawatomie,2.7,25790,20149,STROKE
IA,Iowa,Clarke,20.5,9785,19039,CSMOKING
KS,Kansas,Atchison,14.6,16239,20005,MOBILITY
KS,Kansas,Marshall,17.3,9979,20117,BINGE
IA,Iowa,Buchanan,3.1,20657,19019,STROKE
KS,Kansas,Greeley,3.6,1304,20071,STROKE
IA,Iowa,Keokuk,3.8,9914,19107,STROKE
IA,Iowa,Johnson,5.1,154748,19103,HEARING
KS,Kansas,Douglas,29.6,119363,20045,OBESITY
IA,Iowa,Warren,2.7,53402,19181,STROKE
KS,Kansas,Jefferson,29.2,18411,20087,DISABILITY
KS,Kansas,Pratt,28.3,9181,20151,ARTHRITIS
KS,Kansas,Sheridan,9,2478,20179,HEARING
KS,Kansas,Morton,18.9,2692,20129,DEPRESSION
KS,Kansas,Scott,16,5131,20171,BINGE
IA,Iowa,Van Buren,4.1,7243,19177,STROKE
IA,Iowa,Osceola,11.3,6159,19143,DIABETES
IA,Iowa,Monroe,33.2,7610,19135,BPHIGH
ME,Maine,Waldo,3.5,39912,23027,STROKE
KY,Kentucky,Estill,48.1,14092,21065,DISABILITY
KY,Kentucky,Livingston,4.2,8959,21139,STROKE
KY,Kentucky,Whitley,7.1,36939,21235,VISION
LA,Louisiana,Caddo,4.7,233092,22017,STROKE
LA,Louisiana,Cameron,3.8,5080,22023,STROKE
KY,Kentucky,Robertson,41.5,2257,21201,OBESITY
MD,Maryland,Montgomery,16.9,1054827,24031,DEPRESSION
ME,Maine,Cumberland,22.7,305231,23005,DEPRESSION
KY,Kentucky,McCracken,3.9,67454,21145,STROKE
KY,Kentucky,Monroe,4.5,11233,21171,STROKE
MN,Minnesota,Blue Earth,2.6,69280,27013,STROKE
MS,Mississippi,Rankin,21,158096,28121,DEPRESSION
MN,Minnesota,Sherburne,38.8,99074,27141,OBESITY
MS,Mississippi,Kemper,18.7,8829,28069,DEPRESSION
MN,Minnesota,Brown,35,25819,27015,OBESITY
MS,Mississippi,Carroll,40.2,9879,28015,OBESITY
MI,Michigan,Monroe,3.4,155274,26115,STROKE
MN,Minnesota,Kanabec,3.7,16159,27065,STROKE
MI,Michigan,Oscoda,36.1,8311,26135,OBESITY
MN,Minnesota,Winona,23.3,49630,27169,ARTHRITIS
MO,Missouri,Caldwell,10.1,8897,29025,CASTHMA
MI,Michigan,Wexford,8.5,33901,26165,HEARING
MN,Minnesota,Nobles,37.8,21991,27105,OBESITY
MS,Mississippi,Wilkinson,45.5,8315,28157,OBESITY
MI,Michigan,Ionia,3.1,67197,26067,STROKE
MO,Missouri,Cass,11,109638,29037,DIABETES
MI,Michigan,Mason,4,29383,26105,STROKE
MN,Minnesota,Carver,2.3,108626,27019,STROKE
MS,Mississippi,Panola,41.9,32851,28107,OBESITY
MI,Michigan,Ontonagon,5.1,5868,26131,STROKE
MN,Minnesota,Red Lake,3.6,3933,27125,STROKE
MN,Minnesota,Brown,3.3,25819,27015,STROKE
MS,Mississippi,Webster,4,9983,28155,STROKE
MN,Minnesota,Isanti,33.6,41906,27059,OBESITY
NE,Nebraska,Hitchcock,43.5,2586,31087,OBESITY
MT,Montana,Jefferson,30.3,12470,30043,OBESITY
MO,Missouri,Ralls,15.6,10361,29173,BINGE
MT,Montana,Fallon,3.2,3017,30025,STROKE
NE,Nebraska,Sherman,40.5,2964,31163,OBESITY
NE,Nebraska,Sioux,4.3,1143,31165,STROKE
NE,Nebraska,Sioux,5.3,1143,31165,VISION
NE,Nebraska,Clay,41.9,6078,31035,OBESITY
MO,Missouri,Holt,39.8,4226,29087,OBESITY
MT,Montana,Teton,30.4,6269,30099,ARTHRITIS
MO,Missouri,Newton,28,59386,29145,ARTHRITIS
NE,Nebraska,Perkins,3.6,2832,31135,STROKE
MT,Montana,Gallatin,23.2,122713,30031,OBESITY
MT,Montana,Pondera,22.2,5994,30073,DEPRESSION
NE,Nebraska,Platte,3.1,34241,31141,STROKE
NE,Nebraska,York,9.6,14244,31185,COGNITION
MO,Missouri,Johnson,2.6,54150,29101,STROKE
NE,Nebraska,Knox,17.1,8401,31107,BINGE
NE,Nebraska,Wayne,3.7,9784,31179,VISION
MT,Montana,Dawson,34.3,8904,30021,OBESITY
MT,Montana,Valley,22.1,7537,30105,DEPRESSION
NC,North Carolina,Moore,29,102763,37125,ARTHRITIS
NY,New York,Broome,33.2,197240,36007,OBESITY
NM,New Mexico,Mora,16.5,4196,35033,DEPRESSION
NJ,New Jersey,Sussex,32.3,145543,34037,OBESITY
NY,New York,Chenango,38.8,46537,36017,OBESITY
NC,North Carolina,Hoke,3.5,53114,37093,STROKE
NC,North Carolina,Chatham,20.6,77889,37037,DEPRESSION
NC,North Carolina,Guilford,34.8,542410,37081,OBESITY
NY,New York,Schuyler,22.9,17752,36097,DEPRESSION
NC,North Carolina,Montgomery,4.4,25798,37123,STROKE
NM,New Mexico,Curry,20.5,47999,35009,DEPRESSION
NC,North Carolina,Moore,32,102763,37125,OBESITY
NC,North Carolina,Chowan,34,13722,37041,ARTHRITIS
NY,New York,Otsego,3.2,58123,36077,STROKE
NH,New Hampshire,Merrimack,31.2,155238,33013,OBESITY
NJ,New Jersey,Camden,3.2,523771,34007,STROKE
NY,New York,Chenango,32,46537,36017,ARTHRITIS
NY,New York,Westchester,2.8,997895,36119,STROKE
NY,New York,Montgomery,35.8,49558,36057,OBESITY
NY,New York,Chemung,26.3,83045,36015,DEPRESSION
NY,New York,Rockland,22.1,339227,36087,ARTHRITIS
NY,New York,Clinton,25.9,79596,36019,DEPRESSION
NV,Nevada,Lincoln,3.8,4525,32017,STROKE
OH,Ohio,Union,2.5,64971,39159,STROKE
OK,Oklahoma,Coal,4.9,5276,40029,STROKE
OH,Ohio,Seneca,22.6,54906,39147,DEPRESSION
ND,North Dakota,Walsh,3.8,10469,38099,STROKE
OK,Oklahoma,Coal,12.3,5276,40029,CASTHMA
OR,Oregon,Grant,25.2,7272,41023,DEPRESSION
OK,Oklahoma,Woods,25.4,8583,40151,ARTHRITIS
OH,Ohio,Clark,43,135633,39023,OBESITY
OK,Oklahoma,Payne,2.7,81989,40119,STROKE
OK,Oklahoma,Jefferson,11.5,5438,40067,CASTHMA
OH,Ohio,Monroe,4.3,13329,39111,STROKE
OK,Oklahoma,Jefferson,42,5438,40067,OBESITY
ND,North Dakota,Ward,18.2,69071,38101,DEPRESSION
OH,Ohio,Miami,39.4,109264,39109,OBESITY
OK,Oklahoma,Woods,3.1,8583,40151,STROKE
SD,South Dakota,Brule,17.1,5242,46015,DEPRESSION
TN,Tennessee,Giles,4,30542,47055,STROKE
PA,Pennsylvania,Fulton,3.8,14523,42057,STROKE
PA,Pennsylvania,Bedford,32.7,47461,42009,ARTHRITIS
TN,Tennessee,Hardeman,4.7,25426,47069,STROKE
PA,Pennsylvania,Berks,36,429342,42011,OBESITY
TN,Tennessee,Clay,5.1,7555,47027,STROKE
TN,Tennessee,Humphreys,37.2,19211,47085,OBESITY
SC,South Carolina,Cherokee,3.9,56052,45021,STROKE
SC,South Carolina,York,2.9,288595,45091,STROKE
PA,Pennsylvania,Elk,22.1,30783,42047,DEPRESSION
SD,South Dakota,Grant,8.6,7519,46051,HEARING
SD,South Dakota,Jerauld,8.4,1636,46073,CASTHMA
TX,Texas,Real,5.3,2826,48385,STROKE
TX,Texas,Hidalgo,19,880356,48215,ARTHRITIS
TX,Texas,Jackson,9.6,15121,48239,CASTHMA
TX,Texas,Denton,32.2,941647,48121,OBESITY
TX,Texas,Hudspeth,4.2,3287,48229,STROKE
TX,Texas,Fort Bend,30.7,858527,48157,OBESITY
TX,Texas,Brooks,43.8,6994,48047,OBESITY
TX,Texas,Mason,4,3943,48319,STROKE
TX,Texas,Dallam,16.7,7172,48111,BINGE
TX,Texas,Loving,2.6,57,48301,STROKE
TX,Texas,Cottle,40.5,1381,48101,OBESITY
TX,Texas,Hill,37.8,36471,48217,OBESITY
TX,Texas,Bosque,9.5,18503,48035,CASTHMA
TX,Texas,Dickens,21,1740,48125,DEPRESSION
TX,Texas,Palo Pinto,6.1,28686,48363,VISION
TX,Texas,Brown,14.6,38192,48049,COGNITION
TX,Texas,Parker,26.1,156764,48367,ARTHRITIS
TX,Texas,Andrews,39.5,18440,48003,OBESITY
TX,Texas,Lipscomb,36.6,2931,48295,OBESITY
NE,Nebraska,Kimball,4.4,3412,31105,STROKE
NE,Nebraska,Dawes,2.9,8148,31045,STROKE
NE,Nebraska,Cuming,3.5,8984,31039,STROKE
GA,Georgia,Wheeler,4.5,7471,13309,STROKE
CO,Colorado,Jackson,4,1363,08057,STROKE
AL,Alabama,Lowndes,6,9965,01085,STROKE
OR,Oregon,Wallowa,3.9,7545,41063,STROKE
IN,Indiana,Benton,3.9,8714,18007,STROKE
VA,Virginia,Powhatan,21.9,31136,51145,DEPRESSION
TX,Texas,Rockwall,2.4,116381,48397,STROKE
TX,Texas,Rockwall,33.1,116381,48397,OBESITY
TX,Texas,Travis,3.9,1305154,48453,VISION
VA,Virginia,Accomack,20.5,33246,51001,DEPRESSION
VA,Virginia,Madison,30.7,13942,51113,DISABILITY
VA,Virginia,Lynchburg,34.5,79009,51680,OBESITY
TX,Texas,Young,28.9,17977,48503,ARTHRITIS
TX,Texas,Starr,14,66049,48427,VISION
TX,Texas,Wood,35.4,45875,48499,DISABILITY
TX,Texas,Sherman,22,2798,48421,DEPRESSION
VA,Virginia,Highland,9.7,2226,51091,HEARING
VA,Virginia,Norton,34.4,3666,51720,DISABILITY
TX,Texas,Scurry,3.5,16824,48415,STROKE
VA,Virginia,Roanoke,34.4,96589,51161,OBESITY
VA,Virginia,Roanoke City,32.2,98865,51770,ARTHRITIS
VA,Virginia,Bedford,36,80131,51019,OBESITY
VA,Virginia,Newport News,3.4,184587,51700,STROKE
WI,Wisconsin,Marathon,3.1,137648,55073,STROKE
WI,Wisconsin,Pepin,10.1,7364,55091,CASTHMA
WI,Wisconsin,Sawyer,36,18295,55113,OBESITY
WV,West Virginia,Webster,41.7,8249,54101,OBESITY
WI,Wisconsin,Door,8.4,30369,55029,HEARING
WI,Wisconsin,Portage,2.8,70468,55097,STROKE
WI,Wisconsin,Wood,10.2,74070,55141,DIABETES
WA,Washington,Thurston,2.9,297977,53067,STROKE
WV,West Virginia,Jefferson,32.5,58370,54037,DISABILITY
WI,Wisconsin,Polk,34,45431,55095,BPHIGH
WV,West Virginia,Jackson,4.1,27738,54035,STROKE
WI,Wisconsin,Polk,3.4,45431,55095,STROKE
WV,West Virginia,Tucker,37.7,6672,54093,ARTHRITIS
WY,Wyoming,Platte,32.8,8699,56031,DISABILITY
WY,Wyoming,Sweetwater,34.6,41614,56037,OBESITY
WA,Washington,Garfield,3.9,2346,53023,STROKE
WI,Wisconsin,Pierce,33.5,42587,55093,OBESITY
WY,Wyoming,Laramie,20.2,100863,56021,DEPRESSION
WV,West Virginia,Mason,27.5,25157,54053,DEPRESSION
WV,West Virginia,Webster,46.2,8249,54101,DISABILITY
WI,Wisconsin,Waupaca,4.1,51570,55135,VISION
WI,Wisconsin,Monroe,34.9,46193,55081,OBESITY
WI,Wisconsin,Columbia,35.8,58488,55021,OBESITY
KY,Kentucky,Taylor,27.9,26235,21217,DEPRESSION
IL,Illinois,Henderson,83.1,6312,17071,BPMED
NV,Nevada,Nye,11.4,53450,32023,HEARING
MI,Michigan,Cass,32,51483,26027,ARTHRITIS
OR,Oregon,Wheeler,11.3,1451,41069,CANCER
MO,Missouri,Audrain,32.6,24982,29007,LPA
GA,Georgia,Forsyth,9.3,260206,13117,MOBILITY
NE,Nebraska,Logan,27.2,687,31113,DISABILITY
KS,Kansas,Barber,19.2,4110,20007,DEPRESSION
IA,Iowa,Poweshiek,31.8,18586,19157,BPHIGH
OK,Oklahoma,Greer,39.8,5487,40055,DISABILITY
OR,Oregon,Klamath,17.9,70164,41035,MHLTH
CA,California,Alameda,10.1,1648556,06001,DIABETES
MD,Maryland,Worcester,15.4,53132,24047,MOBILITY
CT,Connecticut,Middlesex,5.5,164759,09007,ACCESS2
MI,Michigan,Leelanau,7.4,22623,26089,COPD
KS,Kansas,Harper,15.9,5331,20077,BINGE
IL,Illinois,Henderson,80.7,6312,17071,CHECKUP
CA,California,San Benito,11,66677,06069,DIABETES
KS,Kansas,Rawlins,9.8,2549,20153,CHD
IA,Iowa,Calhoun,11.2,9915,19025,COGNITION
IN,Indiana,St. Joseph,28.7,272212,18141,DISABILITY
MO,Missouri,Worth,42.5,1983,29227,OBESITY
OK,Oklahoma,McClain,35.5,43516,40087,HIGHCHOL
ND,North Dakota,Bottineau,4.1,6390,38009,VISION
IN,Indiana,Grant,4.5,66263,18053,SELFCARE
MS,Mississippi,Tallahatchie,17.7,12366,28135,DIABETES
IN,Indiana,Huntington,7.1,36717,18069,HEARING
GA,Georgia,Habersham,14.5,46774,13137,BINGE
MO,Missouri,Oregon,77.3,8631,29149,CHECKUP
OK,Oklahoma,Pawnee,9.7,15741,40117,INDEPLIVE
LA,Louisiana,Ouachita,3.6,158768,22073,KIDNEY
MT,Montana,Garfield,35.3,1209,30033,BPHIGH
ND,North Dakota,Sargent,35.2,3829,38081,BPHIGH
MD,Maryland,Carroll,16.2,173873,24013,BINGE
ID,Idaho,Power,7.2,7950,16077,CANCER
CA,California,Yuba,3.1,83421,06115,KIDNEY
KY,Kentucky,Bath,38.9,12778,21011,OBESITY
GA,Georgia,Whitfield,9.8,102848,13313,CASTHMA
AL,Alabama,Choctaw,11.3,12533,01023,BINGE
MI,Michigan,Keweenaw,90.6,2107,26083,CHOLSCREEN
NY,New York,Westchester,5.5,997895,36119,CHD
NE,Nebraska,Washington,9.8,20969,31177,DIABETES
GA,Georgia,Turner,21.9,8966,13287,DEPRESSION
LA,Louisiana,Jefferson Davis,13.1,32345,22053,DIABETES
ND,North Dakota,Richland,3.2,16560,38077,KIDNEY
IN,Indiana,Switzerland,10.9,9790,18155,CASTHMA
IL,Illinois,Piatt,8.4,16753,17147,CANCER
AR,Arkansas,Jackson,77.6,16811,05067,CHECKUP
NM,New Mexico,Harding,12.9,639,35021,MHLTH
OH,Ohio,Washington,16.1,59423,39167,BINGE
LA,Louisiana,Beauregard,5.7,36584,22011,VISION
OK,Oklahoma,Washita,8.2,10915,40149,CANCER
CA,California,Plumas,9.9,19915,06063,CANCER
ND,North Dakota,Benson,30.3,5809,38005,ARTHRITIS
LA,Louisiana,Ouachita,15.7,158768,22073,BINGE
DC,District of Columbia,District of Columbia,5.4,670050,11001,CANCER
NE,Nebraska,Rock,27.9,1264,31149,LPA
MO,Missouri,Monroe,83.3,8712,29137,CHOLSCREEN
CA,California,Monterey,12,437325,06053,DIABETES
OH,Ohio,Lucas,17.5,429191,39095,MHLTH
ND,North Dakota,McHenry,73.2,5249,38049,CHECKUP
NY,New York,Schenectady,14.7,158089,36093,GHLTH
GA,Georgia,Tattnall,21.5,23052,13267,DEPRESSION
MT,Montana,Blaine,19.8,6980,30005,BINGE
ME,Maine,York,7,214591,23031,CHD
IL,Illinois,Alexander,16.5,5030,17003,MHLTH
KS,Kansas,Rooks,17.2,4831,20163,CSMOKING
AK,Alaska,Haines,12.1,2071,02100,DIABETES
OK,Oklahoma,McCurtain,24.1,30884,40089,CSMOKING
GA,Georgia,Liberty,3,65711,13179,KIDNEY
LA,Louisiana,Red River,33.2,7564,22081,ARTHRITIS
IL,Illinois,DuPage,5.7,924885,17043,INDEPLIVE
KY,Kentucky,Scott,34.2,58252,21209,BPHIGH
OK,Oklahoma,Cherokee,77.1,47627,40021,BPMED
KS,Kansas,Bourbon,12.2,14323,20011,DIABETES
GA,Georgia,Polk,18.2,43496,13233,MOBILITY
GA,Georgia,Lumpkin,9.9,34278,13187,CASTHMA
IA,Iowa,Wayne,8.7,6508,19185,ACCESS2
CO,Colorado,Crowley,11.2,6012,08025,DIABETES
LA,Louisiana,Iberia,5.7,68975,22045,SELFCARE
MN,Minnesota,Clearwater,14.9,8576,27029,MHLTH
OR,Oregon,Baker,37.4,16847,41001,HIGHCHOL
NM,New Mexico,Socorro,11.2,16311,35053,INDEPLIVE
KY,Kentucky,Lewis,76,12987,21135,CHECKUP
KS,Kansas,Stevens,39.7,5293,20189,OBESITY
NY,New York,Schoharie,11,29863,36095,CASTHMA
MN,Minnesota,Red Lake,3.5,3933,27125,KIDNEY
NC,North Carolina,Greene,6.7,20417,37079,CANCER
GA,Georgia,Pierce,42.1,19976,13229,HIGHCHOL
OH,Ohio,Highland,39,43354,39071,HIGHCHOL
AR,Arkansas,Monroe,12,6683,05095,COPD
MS,Mississippi,Lowndes,37,58150,28087,DISABILITY
MI,Michigan,Presque Isle,9,13093,26141,INDEPLIVE
OK,Oklahoma,Noble,10.2,10933,40103,HEARING
AR,Arkansas,St. Francis,42.1,22739,05123,LPA
IL,Illinois,Montgomery,37,28084,17135,HIGHCHOL
KY,Kentucky,Lee,12.2,7451,21129,CASTHMA
OH,Ohio,Pickaway,3.9,59333,39129,SELFCARE
NC,North Carolina,Onslow,4.7,206160,37133,CANCER
MT,Montana,Golden Valley,9.9,831,30037,ACCESS2
KS,Kansas,Finney,3.1,38107,20055,KIDNEY
NH,New Hampshire,Rockingham,75.2,316947,33015,CHECKUP
OK,Oklahoma,Hughes,7.6,13405,40063,VISION
MS,Mississippi,Adams,84.4,28742,28001,CHOLSCREEN
AR,Arkansas,Baxter,11.6,42144,05005,COPD
MO,Missouri,Taney,76.8,56387,29213,CHECKUP
CO,Colorado,Gunnison,3.2,17281,08051,VISION
OK,Oklahoma,Harper,10.3,3180,40059,HEARING
AL,Alabama,Colbert,4.5,57474,01033,SELFCARE
ND,North Dakota,Slope,15.2,690,38087,GHLTH
IN,Indiana,Hancock,28.1,81789,18059,ARTHRITIS
MI,Michigan,Eaton,34.7,108944,26045,BPHIGH
NE,Nebraska,Cherry,9.8,5458,31031,HEARING
KY,Kentucky,Lawrence,6.3,16290,21127,SELFCARE
MT,Montana,Valley,15.5,7537,30105,MOBILITY
IL,Illinois,Jefferson,17.8,36877,17081,GHLTH
ID,Idaho,Canyon,14.8,243115,16027,BINGE
KS,Kansas,Atchison,17.2,16239,20005,CSMOKING
MN,Minnesota,Hubbard,6.8,21715,27057,INDEPLIVE
OK,Oklahoma,McClain,12.1,43516,40087,PHLTH
IN,Indiana,White,38.3,24651,18181,BPHIGH
NJ,New Jersey,Salem,8,65046,34033,INDEPLIVE
IL,Illinois,Perry,17,20985,17145,COGNITION
MN,Minnesota,McLeod,14.1,36735,27085,GHLTH
IA,Iowa,Fremont,39.6,6567,19071,HIGHCHOL
MO,Missouri,Mississippi,24,12538,29133,DEPRESSION
CO,Colorado,Ouray,6.7,5035,08091,CHD
IA,Iowa,Dubuque,6.8,98718,19061,HEARING
MS,Mississippi,Claiborne,22,8908,28021,CSMOKING
KY,Kentucky,Woodford,38.2,27075,21239,BPHIGH
IL,Illinois,Calhoun,30.4,4369,17013,ARTHRITIS
MN,Minnesota,Cottonwood,7.3,11569,27033,COPD
MS,Mississippi,Wilkinson,9.2,8315,28157,CHD
NV,Nevada,Eureka,17.8,1903,32011,MHLTH
AK,Alaska,Dillingham,16,4772,02070,PHLTH
AL,Alabama,Clay,12.3,14190,01027,ACCESS2
IA,Iowa,Ida,11.3,6956,19093,DIABETES
OK,Oklahoma,Harper,39.8,3180,40059,OBESITY
OR,Oregon,Lane,7.9,383189,41039,INDEPLIVE
AL,Alabama,Lamar,8.6,13689,01075,CANCER
NM,New Mexico,Luna,39.1,25532,35029,HIGHCHOL
AZ,Arizona,Apache,28,65623,04001,LPA
NY,New York,Herkimer,23,59937,36043,DEPRESSION
CA,California,Imperial,30.1,179851,06025,LPA
CO,Colorado,Delta,14.7,31661,08029,MHLTH
NJ,New Jersey,Morris,11.3,510981,34027,GHLTH
OH,Ohio,Scioto,11.3,73346,39145,CASTHMA
OK,Oklahoma,Rogers,77,96695,40131,BPMED
MO,Missouri,Boone,14.6,185840,29019,CSMOKING
MI,Michigan,Monroe,12.3,155274,26115,PHLTH
AL,Alabama,Houston,35.7,107458,01069,DISABILITY
OR,Oregon,Polk,6.3,89164,41053,CHD
OR,Oregon,Wasco,4.3,26726,41065,SELFCARE
CA,California,Mono,6.8,13247,06051,HEARING
MO,Missouri,Lincoln,8.2,61586,29113,INDEPLIVE
LA,Louisiana,Webster,18.6,36184,22119,DIABETES
OH,Ohio,Muskingum,14.3,86408,39119,PHLTH
IA,Iowa,Dickinson,18.6,17851,19059,BINGE
GA,Georgia,Gordon,28.7,58237,13129,ARTHRITIS
MO,Missouri,Carter,10.1,5320,29035,CASTHMA
MT,Montana,Carbon,31.7,10847,30009,ARTHRITIS
OR,Oregon,Multnomah,6,803377,41051,HEARING
MO,Missouri,Montgomery,23.9,11415,29139,DEPRESSION
OH,Ohio,Meigs,3.9,22049,39105,KIDNEY
MO,Missouri,Ste. Genevieve,35.2,18588,29186,DISABILITY
ND,North Dakota,McLean,7.2,9796,38055,COPD
AR,Arkansas,Sevier,81.2,15783,05133,CHOLSCREEN
NE,Nebraska,Richardson,8.3,7759,31147,ACCESS2
GA,Georgia,Columbia,36.6,159639,13073,HIGHCHOL
NC,North Carolina,Bertie,86.3,17505,37015,CHOLSCREEN
KS,Kansas,Grant,32.9,7324,20067,BPHIGH
NC,North Carolina,Alamance,8,173877,37001,HEARING
KY,Kentucky,Menifee,27.8,6194,21165,DEPRESSION
NC,North Carolina,Bladen,6.4,29525,37017,SELFCARE
AL,Alabama,Randolph,8.6,21989,01111,HEARING
ME,Maine,Hancock,3.5,56192,23009,SELFCARE
NV,Nevada,Douglas,3.9,49870,32005,KIDNEY
IL,Illinois,Logan,27.9,27992,17107,LPA
IL,Illinois,Scott,81.3,4836,17171,BPMED
MT,Montana,Lewis and Clark,19.8,72223,30049,BINGE
NM,New Mexico,Chaves,40.4,64629,35005,OBESITY
LA,Louisiana,De Soto,8,26919,22031,VISION
NE,Nebraska,Stanton,10,5816,31167,PHLTH
AL,Alabama,Crenshaw,20.1,13083,01041,CSMOKING
GA,Georgia,Bleckley,6.9,12607,13023,CANCER
MS,Mississippi,Amite,22.2,12637,28005,CSMOKING
NC,North Carolina,Lenoir,5.3,54706,37107,STROKE
MN,Minnesota,Mille Lacs,34.1,26867,27095,BPHIGH
OH,Ohio,Gallia,36,29158,39053,DISABILITY
IN,Indiana,Washington,32.1,28102,18175,ARTHRITIS
OH,Ohio,Defiance,31.2,38144,39039,ARTHRITIS
OH,Ohio,Carroll,84.5,26691,39019,CHOLSCREEN
IN,Indiana,Tippecanoe,29.6,187076,18157,OBESITY
MN,Minnesota,Carver,70.3,108626,27019,CHECKUP
GA,Georgia,Calhoun,78.1,5509,13037,CHECKUP
NH,New Hampshire,Cheshire,13.6,77329,33005,GHLTH
MT,Montana,Judith Basin,31.8,2044,30045,ARTHRITIS
NV,Nevada,Churchill,16.8,25723,32001,MHLTH
OH,Ohio,Crawford,20,41754,39033,GHLTH
MN,Minnesota,Sibley,11.6,14917,27143,COGNITION
KS,Kansas,Wichita,18,2082,20203,DEPRESSION
NC,North Carolina,Warren,15.6,18762,37185,MHLTH
CO,Colorado,Broomfield,29.3,75325,08014,HIGHCHOL
GA,Georgia,Columbia,88.1,159639,13073,CHOLSCREEN
GA,Georgia,Clay,53.5,2882,13061,BPHIGH
IA,Iowa,Washington,8.2,22491,19183,CANCER
KY,Kentucky,Edmonson,13,12291,21061,BINGE
OH,Ohio,Putnam,7.1,34318,39137,CHD
